,rank,song_name,song_id,artist_name,artist_id,alb_name,alb_id
0,1,아무노래,32313543,지코 (ZICO),602056,아무노래,10375118
1,2,마음을 드려요,32378104,아이유,261143,사랑의 불시착 OST Part 11,10388744
2,3,ON,32399830,방탄소년단,672375,MAP OF THE SOUL : 7,10377346
3,4,시작,32345931,가호 (Gaho),13494,이태원 클라쓰 OST Part.2,10381712
4,5,METEOR,32224272,창모 (CHANGMO),774900,Boyhood,10359162
5,6,늦은 밤 너의 집 앞 골목길에서,32156286,노을,105623,늦은 밤 너의 집 앞 골목길에서,10348811
6,7,그때 그 아인,32377231,김필,561051,이태원 클라쓰 OST Part.6,10388581
7,8,Blueming,32183386,아이유,261143,Love poem,10346650
8,9,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,32003395,장범준,648551,멜로가 체질 OST Part 3,10320500
9,10,FIESTA,32381408,IZ*ONE (아이즈원),2398653,BLOOM*IZ,10389281
10,11,"다시 난, 여기",32311870,백예린 (Yerin Baek),698776,사랑의 불시착 OST Part 4,10374783
11,12,Psycho,32273582,Red Velvet (레드벨벳),780066,‘The ReVe Festival’ Finale,10368053
12,13,WANNABE,32445339,ITZY (있지),2622030,IT'z ME,10400522
13,14,Black Swan,32323969,방탄소년단,672375,MAP OF THE SOUL : 7,10377346
14,15,00:00 (Zero O’Clock),32399832,방탄소년단,672375,MAP OF THE SOUL : 7,10377346
15,16,둘만의 세상으로 가,32364000,Crush,674710,사랑의 불시착 OST Part 10,10385896
16,17,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),31737197,방탄소년단,672375,MAP OF THE SOUL : PERSONA,10273641
17,18,반만,32224409,진민호,695512,반만,10359204
18,19,어떻게 지내 (Prod. By VAN.C),32438894,오반,925515,어떻게 지내,10399190
19,20,돌덩이,32361098,하현우 (국카스텐),612072,이태원 클라쓰 OST Part.3,10385262
20,21,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",32061975,AKMU (악뮤),712452,항해,10331947
21,22,HIP,32175937,마마무 (Mamamoo),750053,reality in BLACK,10351886
22,23,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),31853557,마크툽 (MAKTUB),566431,Red Moon : To You My Light,10294603
23,24,친구,32399834,방탄소년단,672375,MAP OF THE SOUL : 7,10377346
24,25,너를 사랑하고 있어,32298623,백현 (BAEKHYUN),672859,낭만닥터 김사부 2 OST Part.1,10372655
25,26,2002,31029291,Anne-Marie,870307,Speak Your Mind (Deluxe),10137250
26,27,Love poem,32143487,아이유,261143,Love poem,10346650
27,28,안녕,31984204,폴킴,752425,호텔 델루나 OST Part.10,10317137
28,29,Square (2017),32243273,백예린 (Yerin Baek),698776,Every letter I sent you.,10362776
29,30,"아마두 (feat.우원재, 김효은, 넉살, Huckleberry P)",32228058,염따,202530,Dingo X DAMOIM (Part 2),10359994
30,31,사랑이란 멜로는 없어,32034629,전상근,979724,사랑이란 멜로는 없어,10326710
31,32,Filter,32399827,방탄소년단,672375,MAP OF THE SOUL : 7,10377346
32,33,조금 취했어 (Prod. 2soo),32059630,임재현,2087273,조금 취했어,10331499
33,34,어떤 날엔,32323639,김재환,945663,사랑의 불시착 OST Part 5,10377241
34,35,마음이 말하는 행복 (Happiness) (Feat.이라온),32282389,마크툽 (MAKTUB),566431,Red Moon : Happiness,10369830
35,36,시든 꽃에 물을 주듯,31703498,HYNN (박혜원),1229685,시든 꽃에 물을 주듯,10267986
36,37,"모든 날, 모든 순간 (Every day, Every Moment)",30962526,폴킴,752425,'키스 먼저 할까요?' OST Part.3,10149492
37,38,빌었어,32224271,창모 (CHANGMO),774900,Boyhood,10359162
38,39,우리 왜 헤어져야 해,32187544,신예영,2740042,우리 왜 헤어져야 해,10353881
39,40,시차,32399828,방탄소년단,672375,MAP OF THE SOUL : 7,10377346
40,41,다시 만날까 봐,32021744,V.O.S,108794,다시 만날까 봐,10324004
41,42,Moon,32399835,방탄소년단,672375,MAP OF THE SOUL : 7,10377346
42,43,bad guy,31701428,Billie Eilish,1239008,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",10267565
43,44,사랑의 인사,3118478,씨야,181679,See You Again,1150052
44,45,Inner Child,32399833,방탄소년단,672375,MAP OF THE SOUL : 7,10377346
45,46,포장마차,31873020,황인욱,1865473,포장마차,10298014
46,47,나의 오랜 연인에게,32226962,다비치,236815,나의 오랜 연인에게,10359789
47,48,Flower,32271337,윤미래,1654,사랑의 불시착 OST Part 2,10367589
48,49,Paris In The Rain,31341518,Lauv,1956543,I met you when I was 18. (the playlist),10209752
49,50,"다시는 사랑하지 않고, 이별에 아파하기 싫어",32271720,백지영,1118,"다시는 사랑하지 않고, 이별에 아파하기 싫어",10367659
50,51,사랑이 식었다고 말해도 돼,31829536,먼데이 키즈 (Monday Kiz),175155,사랑이 식었다고 말해도 돼,10290621
51,52,We are Bulletproof : the Eternal,32399837,방탄소년단,672375,MAP OF THE SOUL : 7,10377346
52,53,Sweet Night,32458621,V,725989,이태원 클라쓰 OST Part.12,10402677
53,54,사랑에 연습이 있었다면 (Prod. 2soo),31324607,임재현,2087273,사랑에 연습이 있었다면,10207131
54,55,Painkiller,31768993,Ruel,1438336,Painkiller,10279656
55,56,너를 만나,31388145,폴킴,752425,너를 만나,10217134
56,57,문득,32455938,노을,105623,문득,10402134
57,58,Louder than bombs,32399829,방탄소년단,672375,MAP OF THE SOUL : 7,10377346
58,59,Birthday,32362644,Anne-Marie,870307,Birthday,10385597
59,60,욱 (UGH!),32399831,방탄소년단,672375,MAP OF THE SOUL : 7,10377346
60,61,있어줘요,32085144,장덕철,829211,있어줘요,10336518
61,62,헤어진 우리가 지켜야 할 것들,32224383,김나영,735094,헤어진 우리가 지켜야 할 것들,10359196
62,63,미친 소리,32310097,이예준,718655,미친 소리,10374478
63,64,버릇처럼 셋을 센다,32333475,KCM,45995,버릇처럼 셋을 센다,10379389
64,65,기억해줘요 내 모든 날과 그때를,31967064,거미,30358,호텔 델루나 OST Part.7,10314289
65,66,새 사랑,32091557,송하예,722098,새 사랑,10337665
66,67,Señorita,31877297,Shawn Mendes,776533,Señorita,10298832
67,68,니 소식,31788850,송하예,722098,니 소식,10283614
68,69,Interlude : Shadow,32399826,방탄소년단,672375,MAP OF THE SOUL : 7,10377346
69,70,Maniac,32122539,Conan Gray,2398189,Maniac,10343276
70,71,봄날,30244931,방탄소년단,672375,YOU NEVER WALK ALONE,10037969
71,72,BAND,31854689,창모 (CHANGMO),774900,BAND,10294820
72,73,잘 지내고 있는지 궁금해,32364271,V.O.S,108794,잘 지내고 있는지 궁금해,10385975
73,74,ROXANNE,32180635,Arizona Zervas,2754967,ROXANNE,10352538
74,75,내 마음의 사진,32333669,송가인,1701869,사랑의 불시착 OST Part 6,10379462
75,76,Respect,32399836,방탄소년단,672375,MAP OF THE SOUL : 7,10377346
76,77,주저하는 연인들을 위해,31666417,잔나비,772253,전설,10260858
77,78,Outro : Ego,32399838,방탄소년단,672375,MAP OF THE SOUL : 7,10377346
78,79,이별주,32142272,황인욱,1865473,이별주,10346371
79,80,"Into the Unknown (From ""Frozen 2""/Soundtrack Version)",32180585,Idina Menzel,232538,Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition),10352535
80,81,comethru,31621518,Jeremy Zucker,1758307,"summer,",10252905
81,82,Say,32398899,윤미래,1654,이태원 클라쓰 OST Part.8,10392266
82,83,너의 하루는 좀 어때,32315692,거미,30358,낭만닥터 김사부 2 OST Part.2,10375675
