,rank,song_name,song_id,artist_name,artist_id,alb_name,alb_id
0,1,당신의 밤 (Feat. 오혁),30179089,황광희 X 개코,1285544,무한도전 위대한 유산,10027428
1,2,에라 모르겠다,30147445,BIGBANG (빅뱅),198094,MADE,10022709
2,3,Beautiful,30157753,Crush,674710,도깨비 OST Part 4,10024106
3,4,좋다고 말해,30163110,볼빨간사춘기,792022,Full Album RED PLANET 'Hidden Track',10024816
4,5,Stay With Me,30132687,찬열 (CHANYEOL),672857,도깨비 OST Part.1,10020654
5,6,오랜 날 오랜 밤,30181278,AKMU (악뮤),712452,사춘기 하 (思春記 下),10027786
6,7,쏘아,30179088,하하 X MINO,1285543,무한도전 위대한 유산,10027428
7,8,이쁘다니까,30169608,에디킴,601979,도깨비 OST Part.5,10025845
8,9,LAST DANCE,30147446,BIGBANG (빅뱅),198094,MADE,10022709
9,10,저 별,30132701,헤이즈 (Heize),751611,저 별,10020656
10,11,Decalcomanie (데칼코마니),30079086,마마무 (Mamamoo),750053,MEMORY,10012900
11,12,Who Are You,30169383,샘김 (Sam Kim),757273,도깨비 OST Part.6,10025804
12,13,TT,30054344,TWICE (트와이스),905701,TWICEcoaster : LANE 1,10008861
13,14,처럼 (Feat. 이하이),30179090,유재석 X Dok2,1285545,무한도전 위대한 유산,10027428
14,15,만세,30179092,양세형 X BewhY,1285547,무한도전 위대한 유산,10027428
15,16,I Miss You,30177818,소유 (SOYOU),490981,도깨비 OST Part.7,10027253
16,17,우주를 줄게,9620469,볼빨간사춘기,792022,Full Album RED PLANET,2707131
17,18,나만 안되는 연애,9620473,볼빨간사춘기,792022,Full Album RED PLANET,2707131
18,19,이 바보야,30120986,정승환,792091,목소리,10018979
19,20,불장난,30069773,BLACKPINK,995169,SQUARE TWO,10011491
20,21,지칠 때면 (Feat. 김종완 of Nell),30179093,정준하 X ZICO,1285548,무한도전 위대한 유산,10027428
21,22,GIRLFRIEND,30147447,BIGBANG (빅뱅),198094,MADE,10022709
22,23,내 눈에만 보여,30143498,10CM,468244,도깨비 OST Part.2,10022178
23,24,첫눈처럼 너에게 가겠다,30190630,에일리(Ailee),629831,도깨비 OST Part.9,10029181
24,25,독도리 (Feat. 매드클라운),30179091,박명수 X 딘딘,1285546,무한도전 위대한 유산,10027428
25,26,나비잠 (Sweet Dream),30105621,김희철,439782,나비잠 (Sweet Dream) - SM STATION,10016734
26,27,Hush,30143605,Lasse Lindh,33545,도깨비 OST Part.3,10022189
27,28,그대라는 사치,9614761,한동근,711476,The 3rd Digital Single '그대라는 사치',2706226
28,29,"BERMUDA TRIANGLE (Feat. Crush, DEAN)",30113165,지코 (ZICO),602056,BERMUDA TRIANGLE,10017807
29,30,꽃길 (Prod. By ZICO),30105590,김세정,968261,Jelly box 꽃길 (Prod. By 지코(ZICO)) 세정,10016726
30,31,첫 눈,30178900,정준일,242988,도깨비 OST Part.8,10027400
31,32,이 소설의 끝을 다시 써보려 해,5398990,한동근,711476,The 1st Digital Single '이 소설의 끝을 다시 써보려 해',2284064
32,33,돌아오지마 (Feat. 용준형 Of 비스트),8143111,헤이즈 (Heize),751611,돌아오지마,2679308
33,34,너무너무너무,30040810,아이오아이 (I.O.I),960251,miss me?,10006841
34,35,심술,8155478,볼빨간사춘기,792022,Half Album RED ICKLE,2680986
35,36,"All I Wanna Do (K) (Feat. Hoody, Loco)",30049271,박재범,443420,EVERYTHING YOU WANTED,10008163
36,37,11:11,30072072,태연 (TAEYEON),236797,11:11,10011815
37,38,내가 저지른 사랑,9631530,임창정,1142,I'M,2708957
38,39,널 사랑하지 않아,8199190,어반자카파,420527,STILL,2687420
39,40,피 땀 눈물,30029173,방탄소년단,672375,WINGS,10004707
40,41,숨,30011624,박효신,1191,I am A Dreamer,10001952
41,42,러시안 룰렛 (Russian Roulette),9634954,Red Velvet (레드벨벳),780066,Russian Roulette - The 3rd Mini Album,2709585
42,43,리얼리티,30181277,AKMU (악뮤),712452,사춘기 하 (思春記 下),10027786
43,44,너였다면,8203900,정승환,792091,또 오해영 OST Part.5,2687963
44,45,For Life,30157820,EXO,724619,"For Life - 겨울 스페셜 앨범, 2016",10024125
45,46,"City Of Stars (From ""La La Land"" Soundtrack)",30102883,Ryan Gosling,1203651,라라 랜드 OST,10016438
46,47,CHEER UP,8158031,TWICE (트와이스),905701,PAGE TWO,2681333
47,48,D (half moon) (Feat. 개코),8109412,DEAN,880630,130 Mood : TRBL,2674623
48,49,You(=I),9620471,볼빨간사춘기,792022,Full Album RED PLANET,2707131
49,50,남아있어 (Feat. Crush),30063772,로꼬,688432,남아있어,10010548
50,51,내 옆에 그대인 걸,30035555,다비치,236815,50 X HALF,10005930
51,52,Monster,8217164,EXO,724619,EX'ACT - The 3rd Album,2689855
52,53,휘파람,8304594,BLACKPINK,995169,SQUARE ONE,2703168
53,54,널 너무 사랑해서 (Feat. 정은지 of 에이핑크),30072075,MC몽,11538,U.F.O,10011816
54,55,어떻게 지내,30038185,Crush,674710,wonderlust,10006417
55,56,어디선가 언젠가,30139562,성시경,3305,푸른 바다의 전설 OST Part.5,10021592
56,57,목요일 밤 (Feat. 빈지노),9613173,어반자카파,420527,목요일 밤,2705941
57,58,어디에도,8033528,엠씨더맥스 (M.C the MAX),161636,pathos,2664299
58,59,술 한잔해요 오늘,30126870,지아,227595,술 한잔해요 오늘,10019853
59,60,"And July (Feat. DEAN, DJ Friz)",8271355,헤이즈 (Heize),751611,And July,2688360
60,61,거짓말 (Feat. 이해리 Of 다비치),30115011,매드클라운,219621,거짓말,10018096
61,62,Day Day (Feat. 박재범) (Prod. by GRAY),8261338,BewhY (비와이),739740,쇼미더머니 5 Episode 4,2696637
62,63,Lotto,9606657,EXO,724619,LOTTO - The 3rd Album Repackage,2704940
63,64,puzzle,8308231,C JAMM,729560,puzzle,2703714
64,65,I'm Not The Only One,4660794,Sam Smith,718042,In The Lonely Hour,2258028
65,66,널 미워하지 않길 (Prod. By 하동균),30177184,김나영,735094,널 미워하지 않길,10027190
66,67,생방송,30181276,AKMU (악뮤),712452,사춘기 하 (思春記 下),10027786
67,68,구르미 그린 달빛,9629220,거미,30358,구르미 그린 달빛 OST Part.3,2708558
68,69,불타오르네 (FIRE),8167307,방탄소년단,672375,화양연화 Young Forever,2680573
69,70,빌려줄게,30035184,신용재 (2F),510537,EMPATHY,10005885
70,71,끝,9646572,권진아,760046,웃긴 밤,2711116
71,72,못생긴 척,30181279,AKMU (악뮤),712452,사춘기 하 (思春記 下),10027786
72,73,If You,9609354,에일리(Ailee),629831,If You,2705328
73,74,Falling For You,30157821,EXO,724619,"For Life - 겨울 스페셜 앨범, 2016",10024125
74,75,그대라는 세상,30113197,윤미래,1654,푸른 바다의 전설 OST Part.2,10017819
75,76,"가끔 (Feat. Crush, 기리보이)",30088156,긱스 (Geeks),525805,"가끔 (Feat. Crush, 기리보이)",10014211
76,77,그때 그 아이들은,30181283,AKMU (악뮤),712452,사춘기 하 (思春記 下),10027786
77,78,집에 돌아오는 길,30181282,AKMU (악뮤),712452,사춘기 하 (思春記 下),10027786
78,79,소원,30191370,어반자카파,420527,도깨비 OST Part.10,10029325
79,80,나쁜X (BAD YEAR),30113169,San E,402526,나쁜X (BAD YEAR),10017810
80,81,Excuse Me,30179099,AOA,686920,AOA 1st Album ANGEL'S KNOCK,10027430
81,82,안아줘,3620493,정준일,242988,Lo9ve3r4s,2038488
82,83,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),3053259,아이유,261143,Real,1093562
83,84,세 단어,30025065,젝스키스,100052,세 단어,10004129
84,85,Lucky One,8217163,EXO,724619,EX'ACT - The 3rd Album,2689855
85,86,너 그리고 나 (NAVILLERA),8262125,여자친구 (GFRIEND),828478,여자친구 The 1st Album 'LOL',2696751
86,87,바람꽃,30153027,이선희,966,푸른 바다의 전설 OST Part.6,10023385
87,88,CHOCOLADY,30181280,AKMU (악뮤),712452,사춘기 하 (思春記 下),10027786
88,89,What I Want For Christmas,30157822,EXO,724619,"For Life - 겨울 스페셜 앨범, 2016",10024125
89,90,Forever (Prod. By GRAY),8252408,BewhY (비와이),739740,쇼미더머니 5 Episode 3,2695189
90,91,죽어도 너야,30159661,V,725989,화랑 OST Part.2,10024344
91,92,Love Story,30099861,린,8530,푸른 바다의 전설 OST Part.1,10016010
92,93,A Lovely Night,30141734,Ryan Gosling,1203651,라라 랜드 OST,10016438
93,94,붐붐,30132707,세븐틴,861436,Seventeen 3rd Mini Album 'Going Seventeen',10020658
94,95,커플 (2016),30126971,젝스키스,100052,2016 Re-ALBUM,10019876
95,96,Winter Heat,30157824,EXO,724619,"For Life - 겨울 스페셜 앨범, 2016",10024125
96,97,YOU KNOW ME,30181281,AKMU (악뮤),712452,사춘기 하 (思春記 下),10027786
97,98,네 생각,8268275,존박,28772,네 생각,2697716
98,99,이별을 배웠어 (Always In My Heart),30076504,임슬옹,474423,이별을 배웠어 (Always In My Heart) - SM STATION,10012493
99,100,Twenty Four,30157823,EXO,724619,"For Life - 겨울 스페셜 앨범, 2016",10024125
