,rank,song_name,song_id,artist_name,artist_id,alb_name,alb_id
0,1,주저하는 연인들을 위해,31666417,잔나비,772253,전설,10260858
1,2,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),31737197,방탄소년단,672375,MAP OF THE SOUL : PERSONA,10273641
2,3,"나만, 봄",31709523,볼빨간사춘기,792022,사춘기집Ⅰ 꽃기운,10268898
3,4,FANCY,31754579,TWICE (트와이스),905701,FANCY YOU,10276861
4,5,사계 (Four Seasons),31688205,태연 (TAEYEON),236797,사계 (Four Seasons),10265079
5,6,Kill This Love,31717822,BLACKPINK,995169,KILL THIS LOVE,10270288
6,7,노래방에서,31684636,장범준,648551,장범준 3집,10264375
7,8,별 보러 갈래?,31709524,볼빨간사춘기,792022,사춘기집Ⅰ 꽃기운,10268898
8,9,당신과는 천천히,31684634,장범준,648551,장범준 3집,10264375
9,10,그때가 좋았어,31524320,케이시 (Kassy),858125,그때가 좋았어,10237420
10,11,사월이 지나면 우리 헤어져요 (Beautiful goodbye),31706215,첸 (CHEN),715176,"사월, 그리고 꽃 - The 1st Mini Album",10268441
11,12,옥탑방 (Rooftop),31532656,엔플라잉 (N.Flying),861430,FLY HIGH PROJECT #2 '옥탑방',10238711
12,13,소우주 (Mikrokosmos),31737198,방탄소년단,672375,MAP OF THE SOUL : PERSONA,10273641
13,14,달라달라,31606729,ITZY (있지),2622030,IT'z Different,10250473
14,15,Make It Right,31737199,방탄소년단,672375,MAP OF THE SOUL : PERSONA,10273641
15,16,그건 아마 우리의 잘못은 아닐 거야,31674786,백예린 (Yerin Baek),698776,Our love is great,10262378
16,17,2002,31029291,Anne-Marie,870307,Speak Your Mind (Deluxe),10137250
17,18,뜨거운 여름밤은 가고 남은 건 볼품없지만,8298724,잔나비,772253,MONKEY HOTEL,2702242
18,19,술이 달다 (Feat. Crush),31658897,에픽하이 (EPIK HIGH),108356,sleepless in __________,10259609
19,20,봄 (feat. 산다라박),31663597,박봄 (Park Bom),439341,Spring,10260433
20,21,사랑에 연습이 있었다면 (Prod. 2soo),31324607,임재현,2087273,사랑에 연습이 있었다면,10207131
21,22,고고베베 (gogobebe),31668491,마마무 (Mamamoo),750053,White Wind,10261306
22,23,넘쳐흘러,31532643,엠씨더맥스 (M.C the MAX),161636,Circular,10238710
23,24,진심이 담긴 노래 (True Song),31699965,케이시 (Kassy),858125,진심이 담긴 노래 (True Song),10267222
24,25,Dionysus,31737202,방탄소년단,672375,MAP OF THE SOUL : PERSONA,10273641
25,26,"모든 날, 모든 순간 (Every day, Every Moment)",30962526,폴킴,752425,'키스 먼저 할까요?' OST Part.3,10149492
26,27,사계 (하루살이),31532642,엠씨더맥스 (M.C the MAX),161636,Circular,10238710
27,28,너를 만나,31388145,폴킴,752425,너를 만나,10217134
28,29,HOME,31737200,방탄소년단,672375,MAP OF THE SOUL : PERSONA,10273641
29,30,봄날,30244931,방탄소년단,672375,YOU NEVER WALK ALONE,10037969
30,31,사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들이 자꾸 내 마음을 가둬두네,4848555,잔나비,772253,봉춤을 추네,2278294
31,32,이 노래가 클럽에서 나온다면,31576009,우디 (Woody),673033,이 노래가 클럽에서 나온다면,10245121
32,33,벌써 12시,31532438,청하,968265,벌써 12시,10238683
33,34,멍청이(twit),31608765,화사 (Hwa Sa),756531,멍청이(twit),10250874
34,35,Jamais Vu,31737201,방탄소년단,672375,MAP OF THE SOUL : PERSONA,10273641
35,36,비올레타,31706346,IZ*ONE (아이즈원),2398653,HEART*IZ,10268465
36,37,IDOL,31266290,방탄소년단,672375,LOVE YOURSELF 結 'Answer',10197480
37,38,신용재,31406357,하은 (포맨),2297933,신용재,10219644
38,39,초록빛,31565593,폴킴,752425,초록빛,10243480
39,40,눈 (Prod. 기리보이),31671295,Lil tachi,2635189,고등래퍼3 팀대항전 Part 1,10261773
40,41,SHE'S FINE,31677966,헤이즈 (Heize),751611,She's Fine,10263118
41,42,너도 그냥 날 놓아주면 돼,31455159,윤건,14801,너도 그냥 날 놓아주면 돼,10227145
42,43,신청곡 (Feat. SUGA of BTS),31571110,이소라,983,신청곡 (Feat. SUGA of BTS),10244499
43,44,180도,31477685,벤,655051,180˚,10230497
