,rank,song_name,song_id,artist_name,artist_id,alb_name,alb_id
0,1,Celebrity,33239419,아이유,261143,IU 5th Album 'LILAC',10554246
1,2,밤하늘의 별을(2020),33061995,경서,994005,밤하늘의 별을(2020),10518234
2,3,Dynamite,32872978,방탄소년단,672375,Dynamite (DayTime Version),10479150
3,4,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),33077590,미란이 (Mirani),2866523,쇼미더머니 9 Episode 1,10521601
4,5,잠이 오질 않네요,33013877,장범준,648551,잠이 오질 않네요,10508266
5,6,Lovesick Girls,32961718,BLACKPINK,995169,THE ALBUM,10498032
6,7,취기를 빌려 (취향저격 그녀 X 산들),32794652,산들,672392,취기를 빌려 (취향저격 그녀 X 산들),10463600
7,8,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),33229299,10CM,468244,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10552055
8,9,밝게 빛나는 별이 되어 비춰줄게,33167063,송이한,2189536,밝게 빛나는 별이 되어 비춰줄게,10540298
9,10,에잇(Prod.&Feat. SUGA of BTS),32578498,아이유,261143,에잇,10426648
10,11,내 손을 잡아,3414749,아이유,261143,최고의 사랑 OST Part.4,1286252
11,12,나랑 같이 걸을래 (바른연애 길잡이 X 적재),33011180,적재,771375,나랑 같이 걸을래 (바른연애 길잡이 X 적재),10507546
12,13,힘든 건 사랑이 아니다,32998018,임창정,1142,힘든 건 사랑이 아니다,10505118
13,14,Blueming,32183386,아이유,261143,Love poem,10346650
14,15,오래된 노래,3894276,스탠딩 에그,467880,오래된 노래,2148596
15,16,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,32003395,장범준,648551,멜로가 체질 OST Part 3,10320500
16,17,I'm Not Cool,33244575,현아,449401,I’m Not Cool,10555397
17,18,Life Goes On,33077234,방탄소년단,672375,BE,10521521
18,19,고백 (바른연애 길잡이 X 허각),33260801,허각,28801,고백 (바른연애 길잡이 X 허각),10559322
19,20,Savage Love (Laxed - Siren Beat) (BTS Remix),32962258,Jawsh 685,2868396,Savage Love (Laxed - Siren Beat) [BTS Remix],10498123
20,21,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",32061975,AKMU (악뮤),712452,항해,10331947
21,22,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),32871975,규현 (KYUHYUN),205880,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),10478925
22,23,사실 나는 (Feat.전건호),32525311,경서예지,2863470,사실 나는,10416034
23,24,그날에 나는 맘이 편했을까,33107649,이예준,718655,그날에 나는 맘이 편했을까,10527955
24,25,METEOR,32224272,창모 (CHANGMO),774900,Boyhood,10359162
25,26,"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))",33115807,릴보이 (lIlBOI),623251,쇼미더머니 9 Episode 3,10529161
26,27,"모든 날, 모든 순간 (Every day, Every Moment)",30962526,폴킴,752425,'키스 먼저 할까요?' OST Part.3,10149492
27,28,어떻게 지내 (Prod. By VAN.C),32438894,오반,925515,어떻게 지내,10399190
28,29,How You Like That,32720013,BLACKPINK,995169,How You Like That,10451566
29,30,늦은 밤 너의 집 앞 골목길에서,32156286,노을,105623,늦은 밤 너의 집 앞 골목길에서,10348811
30,31,혼술하고 싶은 밤,33104090,벤,655051,혼술하고 싶은 밤,10527241
31,32,Dolphin,32559782,오마이걸 (OH MY GIRL),857994,NONSTOP,10423289
32,33,2002,31029291,Anne-Marie,870307,Speak Your Mind (Deluxe),10137250
33,34,아로하,32491274,조정석,253606,슬기로운 의사생활 OST Part 3,10409054
34,35,마음을 드려요,32378104,아이유,261143,사랑의 불시착 OST Part 11,10388744
35,36,When We Disco (Duet with 선미),32853712,박진영,1130,When We Disco,10475061
36,37,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),31853557,마크툽 (MAKTUB),566431,Red Moon : To You My Light,10294603
37,38,화(火花),33193809,(여자)아이들,2137482,I burn,10545281
38,39,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),31737197,방탄소년단,672375,MAP OF THE SOUL : PERSONA,10273641
39,40,서면역에서,32570501,순순희,2136895,서면역에서,10425277
40,41,Memories,32055419,Maroon 5,107721,JORDI (Deluxe),10330593
41,42,너의 번호를 누르고 (Prod. 영화처럼),32224166,#안녕,1024489,너의 번호를 누르고,10359126
42,43,시작,32345931,가호 (Gaho),13494,이태원 클라쓰 OST Part.2,10381712
43,44,봄날,30244931,방탄소년단,672375,YOU NEVER WALK ALONE,10037969
44,45,술 한잔 해요,33247490,경서 (경서예지),2917776,술 한잔 해요,10556217
45,46,살짝 설렜어 (Nonstop),32559781,오마이걸 (OH MY GIRL),857994,NONSTOP,10423289
46,47,우리 왜 헤어져야 해,32187544,신예영,2740042,우리 왜 헤어져야 해,10353881
47,48,꼬리 (TAIL),33309138,선미,22938,꼬리 (TAIL),10568886
48,49,거짓말이라도 해서 널 보고싶어,32777869,백지영,1118,거짓말이라도 해서 널 보고싶어,10460544
49,50,Dance Monkey,31979846,Tones And I,2742009,The Kids Are Coming,10316394
50,51,Love poem,32143487,아이유,261143,Love poem,10346650
51,52,Don't Call Me,33305996,SHINee (샤이니),247639,Don't Call Me - The 7th Album,10568243
52,53,"CREDIT (Feat. 염따, 기리보이, Zion.T)",33150997,릴보이 (lIlBOI),623251,쇼미더머니 9 Final,10536658
53,54,너를 만나,31388145,폴킴,752425,너를 만나,10217134
54,55,딩가딩가 (Dingga),33001672,마마무 (Mamamoo),750053,딩가딩가 (Dingga),10505830
55,56,마리아 (Maria),32725013,화사 (Hwa Sa),756531,María,10452351
56,57,사랑은 지날수록 더욱 선명하게 남아,32651098,전상근,979724,한 걸음 : 흔적,10440381
