,rank,song_name,song_id,artist_name,artist_id,alb_name,alb_id
0,1,밤편지,30314784,아이유,261143,밤편지,10047890
1,2,얼굴 찌푸리지 말아요,30310862,하이라이트 (Highlight),1624993,CAN YOU FEEL IT?,10044814
2,3,KNOCK KNOCK,30261007,TWICE (트와이스),905701,TWICEcoaster : LANE 2,10040060
3,4,첫눈처럼 너에게 가겠다,30190630,에일리(Ailee),629831,도깨비 OST Part.9,10029181
4,5,부담이 돼 (Feat. 휘인 Of 마마무),30290011,정키,570731,EMPTY,10043982
5,6,Marry Me,4786735,마크툽 (MAKTUB),566431,마크툽 프로젝트 Vol.03,2271467
6,7,Fine,30278209,태연 (TAEYEON),236797,My Voice - The 1st Album,10040265
7,8,좋다고 말해,30163110,볼빨간사춘기,792022,Full Album RED PLANET 'Hidden Track',10024816
8,9,Rookie,30227054,Red Velvet (레드벨벳),780066,Rookie - The 4th Mini Album,10035026
9,10,오랜 날 오랜 밤,30181278,AKMU (악뮤),712452,사춘기 하 (思春記 下),10027786
10,11,Beautiful,30157753,Crush,674710,도깨비 OST Part 4,10024106
11,12,봄날,30244931,방탄소년단,672375,YOU NEVER WALK ALONE,10037969
12,13,YESTERDAY,30232778,블락비 (Block B),532201,YESTERDAY,10036123
13,14,비가와 (Rain),30247520,소유 (SOYOU),490981,비가와,10038305
14,15,MOVIE,30286429,비투비,647971,Feel'eM,10041603
15,16,오빠야,5605860,신현희와김루트,724318,신현희와김루트,2306170
16,17,우주를 줄게,9620469,볼빨간사춘기,792022,Full Album RED PLANET,2707131
17,18,FINGERTIP,30285450,여자친구 (GFRIEND),828478,여자친구 The 4th Mini Album 'THE AWAKENING',10043312
18,19,Stay With Me,30132687,찬열 (CHANYEOL),672857,도깨비 OST Part.1,10020654
19,20,우리집을 못 찾겠군요 (Feat. 볼빨간사춘기),30230986,매드클라운,219621,우리집을 못 찾겠군요,10035799
20,21,노래,30227061,Zion.T,537920,OO,10035027
21,22,에라 모르겠다,30147445,BIGBANG (빅뱅),198094,MADE,10022709
22,23,I'll Be Yours,30324427,걸스데이,482762,GIRL'S DAY EVERYDAY #5,10049173
23,24,나만 안되는 연애,9620473,볼빨간사춘기,792022,Full Album RED PLANET,2707131
24,25,TT,30054344,TWICE (트와이스),905701,TWICEcoaster : LANE 1,10008861
25,26,벚꽃 엔딩,3753304,버스커 버스커,569233,버스커 버스커 1집,2097226
26,27,Decalcomanie (데칼코마니),30079086,마마무 (Mamamoo),750053,MEMORY,10012900
27,28,심술,8155478,볼빨간사춘기,792022,Half Album RED ICKLE,2680986
28,29,아름답다,30294629,하이라이트 (Highlight),1624993,CAN YOU FEEL IT?,10044814
29,30,불장난,30069773,BLACKPINK,995169,SQUARE TWO,10011491
30,31,마에스트로 (Maestro),8276708,창모 (CHANGMO),774900,돈 벌 시간 2,2698920
31,32,그대라는 사치,9614761,한동근,711476,The 3rd Digital Single '그대라는 사치',2706226
32,33,이쁘다니까,30169608,에디킴,601979,도깨비 OST Part.5,10025845
33,34,I Miss You,30177818,소유 (SOYOU),490981,도깨비 OST Part.7,10027253
34,35,봄 사랑 벚꽃 말고,4579468,HIGH4 (하이포),767374,봄 사랑 벚꽃 말고,2248659
35,36,기다렸다 가,30215199,다이나믹 듀오,108358,Mixxxture Project Vol.1,10033099
36,37,"All I Wanna Do (K) (Feat. Hoody, Loco)",30049271,박재범,443420,EVERYTHING YOU WANTED,10008163
37,38,이 소설의 끝을 다시 써보려 해,5398990,한동근,711476,The 1st Digital Single '이 소설의 끝을 다시 써보려 해',2284064
38,39,You(=I),9620471,볼빨간사춘기,792022,Full Album RED PLANET,2707131
39,40,Shape of You,30188113,Ed Sheeran,549800,÷ (Deluxe),10028835
40,41,저 별,30132701,헤이즈 (Heize),751611,저 별,10020656
41,42,넘어와 (Feat. 백예린),30257703,DEAN,880630,limbo,10039617
42,43,당신의 밤 (Feat. 오혁),30179089,황광희 X 개코,1285544,무한도전 위대한 유산,10027428
43,44,그리워요 (Girlfriend),30310702,헨리 (HENRY),710006,그리워요 (Girlfriend),10047213
44,45,돌아오지마 (Feat. 용준형 Of 비스트),8143111,헤이즈 (Heize),751611,돌아오지마,2679308
45,46,내가 저지른 사랑,9631530,임창정,1142,I'M,2708957
46,47,Bunzi (번지),30310624,기리보이,585492,고등래퍼 지역대항전 Part.2,10047197
47,48,첫 눈,30178900,정준일,242988,도깨비 OST Part.8,10027400
48,49,Love Yourself,7931286,Justin Bieber,420621,Purpose (Deluxe),2337419
49,50,Complex (feat. G-DRAGON),30227065,Zion.T,537920,OO,10035027
50,51,이 바보야,30120986,정승환,792091,목소리,10018979
51,52,러시안 룰렛 (Russian Roulette),9634954,Red Velvet (레드벨벳),780066,Russian Roulette - The 3rd Mini Album,2709585
52,53,Who Are You,30169383,샘김 (Sam Kim),757273,도깨비 OST Part.6,10025804
53,54,Excuse Me,30179099,AOA,686920,AOA 1st Album ANGEL'S KNOCK,10027430
54,55,피 땀 눈물,30029173,방탄소년단,672375,WINGS,10004707
55,56,언젠가 (SOMEDAY),30272285,비투비,647971,Feel'eM,10041603
56,57,널 사랑하지 않아,8199190,어반자카파,420527,STILL,2687420
57,58,D (half moon) (Feat. 개코),8109412,DEAN,880630,130 Mood : TRBL,2674623
58,59,LAST DANCE,30147446,BIGBANG (빅뱅),198094,MADE,10022709
59,60,너였다면,8203900,정승환,792091,또 오해영 OST Part.5,2687963
60,61,행복한 척,30205955,수지,514741,Yes? No?,10031741
61,62,CHEER UP,8158031,TWICE (트와이스),905701,PAGE TWO,2681333
