,rank,song_name,song_id,artist_name,artist_id,alb_name,alb_id
0,1,instagram,30806580,DEAN,880630,instagram,10122929
1,2,선물,30514366,멜로망스,839732,Moonlight,10078176
2,3,비행운,30086173,문문 (MoonMoon),927668,LIFE IS BEAUTY FULL,10013929
3,4,Heart Shaker,30781481,TWICE (트와이스),905701,Merry & Happy,10118955
4,5,Lonely (Feat. 태연),30383758,종현 (JONGHYUN),544520,종현 소품집 '이야기 Op.2',10057543
5,6,기억의 빈자리,30757693,나얼,3959,기억의 빈자리,10115433
6,7,좋아,30729198,민서 (MINSEO),906283,2017 월간 윤종신 11월호,10111490
7,8,Santa Tell Me,5475060,Ariana Grande,597451,Santa Tell Me,2292117
8,9,밤이 되니까,30659630,펀치 (Punch),749640,밤이 되니까,10100577
9,10,눈 (Feat. 이문세),30753021,Zion.T,537920,눈,10114798
10,11,좋니,30486509,윤종신,437,LISTEN 010 좋니,10073513
11,12,피카부 (Peek-A-Boo),30736437,Red Velvet (레드벨벳),780066,Perfect Velvet - The 2nd Album,10112486
12,13,"그때의 나, 그때의 우리",30709103,어반자카파,420527,"그때의 나, 그때의 우리",10108597
13,14,LIKEY,30700708,TWICE (트와이스),905701,twicetagram,10107114
14,15,all of my life,30550388,박원,41499,0M,10083290
15,16,Universe,30806536,EXO,724619,"Universe - 겨울 스페셜 앨범, 2017",10122917
16,17,Beautiful,30725482,Wanna One (워너원),1865973,1-1=0 (NOTHING WITHOUT YOU),10111029
17,18,연애소설 (Feat. 아이유),30688500,에픽하이 (EPIK HIGH),108356,WE'VE DONE SOMETHING WONDERFUL,10105030
18,19,그리워하다,30672529,비투비,647971,Brother Act.,10102658
19,20,썸 탈꺼야,30657307,볼빨간사춘기,792022,Red Diary Page.1,10100191
20,21,This Christmas,30784187,태연 (TAEYEON),236797,This Christmas - Winter is Coming,10119324
21,22,시차 (We Are) (Feat. 로꼬 & GRAY),30613202,우원재,1866689,시차 (We Are),10093389
22,23,이 별,30637776,길구봉구,500421,Star,10097064
23,24,DNA,30637982,방탄소년단,672375,LOVE YOURSELF 承 'Her',10097112
24,25,한숨,8086947,이하이,646171,SEOULITE,2671866
25,26,그 사람을 아나요,30688990,임창정,1142,그 사람을 아나요,10105113
26,27,그날처럼,30755375,장덕철,829211,그날처럼,10115186
27,28,바보야,30753213,허각,28801,바보야,10114851
28,29,Havana (Feat. Young Thug),30567963,Camila Cabello,928017,Camila,10085877
29,30,Shape of You,30188113,Ed Sheeran,549800,÷ (Deluxe),10028835
30,31,비도 오고 그래서 (Feat. 신용재),30492279,헤이즈 (Heize),751611,/// (너 먹구름 비),10074454
31,32,가시나,30587846,선미,22938,SUNMI SPECIAL EDITION '가시나',10089089
32,33,밤편지,30314784,아이유,261143,밤편지,10047890
33,34,나의 사춘기에게,30657311,볼빨간사춘기,792022,Red Diary Page.1,10100191
34,35,첫눈처럼 너에게 가겠다,30190630,에일리(Ailee),629831,도깨비 OST Part.9,10029181
35,36,노력,30099927,박원,41499,1/24,10016012
36,37,뻔한 이별 (PROD. 13),30725643,소유 (SOYOU),490981,RE:BORN,10111091
37,38,There's Nothing Holdin' Me Back,30380953,Shawn Mendes,776533,Illuminate (Deluxe),2689280
38,39,눈 떠보니 이별이더라,30690674,포맨 (4MEN),100176,REMEMBER ME,10105438
39,40,에너제틱 (Energetic),30568338,Wanna One (워너원),1865973,1X1=1(TO BE ONE),10085951
40,41,봄날,30244931,방탄소년단,672375,YOU NEVER WALK ALONE,10037969
41,42,바보에게 바보가,30777979,지아,227595,바보에게 바보가,10118418
42,43,빈차 (Feat. 오혁),30688502,에픽하이 (EPIK HIGH),108356,WE'VE DONE SOMETHING WONDERFUL,10105030
43,44,Blue,30657308,볼빨간사춘기,792022,Red Diary Page.1,10100191
44,45,덜덜덜,30713051,EXID,630454,Full Moon,10109244
45,46,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),3053259,아이유,261143,Real,1093562
46,47,빨간 맛 (Red Flavor),30512671,Red Velvet (레드벨벳),780066,The Red Summer - Summer Mini Album,10077879
47,48,마지막처럼,30481578,BLACKPINK,995169,마지막처럼,10072696
48,49,매일 듣는 노래 (A Daily Song),30467550,황치열,205746,Be Ordinary,10070673
