,rank,song_name,song_id,artist_name,artist_id,alb_name,alb_id
0,1,Blueming,32183386,아이유,261143,Love poem,10346650
1,2,늦은 밤 너의 집 앞 골목길에서,32156286,노을,105623,늦은 밤 너의 집 앞 골목길에서,10348811
2,3,Love poem,32143487,아이유,261143,Love poem,10346650
3,4,이 번호로 전화해줘,32171791,바이브,160080,이 번호로 전화해줘,10351268
4,5,시간의 바깥,32182535,아이유,261143,Love poem,10346650
5,6,HIP,32175937,마마무 (Mamamoo),750053,reality in BLACK,10351886
6,7,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",32061975,AKMU (악뮤),712452,항해,10331947
7,8,unlucky,32183384,아이유,261143,Love poem,10346650
8,9,"인기 (Feat. 송가인, 챈슬러)",32128104,MC몽,11538,CHANNEL 8,10344095
9,10,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,32003395,장범준,648551,멜로가 체질 OST Part 3,10320500
10,11,새 사랑,32091557,송하예,722098,새 사랑,10337665
11,12,조금 취했어 (Prod. 2soo),32059630,임재현,2087273,조금 취했어,10331499
12,13,사랑이란 멜로는 없어,32034629,전상근,979724,사랑이란 멜로는 없어,10326710
13,14,불티 (Spark),32130396,태연 (TAEYEON),236797,Purpose - The 2nd Album,10344534
14,15,그 사람,32183385,아이유,261143,Love poem,10346650
15,16,있어줘요,32085144,장덕철,829211,있어줘요,10336518
16,17,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),31853557,마크툽 (MAKTUB),566431,Red Moon : To You My Light,10294603
17,18,자장가,32183387,아이유,261143,Love poem,10346650
18,19,안녕,31984204,폴킴,752425,호텔 델루나 OST Part.10,10317137
19,20,시든 꽃에 물을 주듯,31703498,HYNN (박혜원),1229685,시든 꽃에 물을 주듯,10267986
20,21,니 소식,31788850,송하예,722098,니 소식,10283614
21,22,포장마차,31873020,황인욱,1865473,포장마차,10298014
22,23,샤넬 (Feat. 박봄),32128105,MC몽,11538,CHANNEL 8,10344095
23,24,이별주,32142272,황인욱,1865473,이별주,10346371
24,25,워커홀릭,32038651,볼빨간사춘기,792022,Two Five,10327581
25,26,2002,31029291,Anne-Marie,870307,Speak Your Mind (Deluxe),10137250
26,27,허전해,32081871,폴킴,752425,"정규 2집 '마음, 하나'",10335933
27,28,기억해줘요 내 모든 날과 그때를,31967064,거미,30358,호텔 델루나 OST Part.7,10314289
28,29,가을밤 떠난 너,32031043,케이시 (Kassy),858125,Rewind,10325945
29,30,사랑에 연습이 있었다면 (Prod. 2soo),31324607,임재현,2087273,사랑에 연습이 있었다면,10207131
30,31,차가워진 이 바람엔 우리가 써있어 (Bad Love),32168238,HYNN (박혜원),1229685,차가워진 이 바람엔 우리가 써있어(Bad Love),10350708
