,artist_id,debut_date,artist_type,artist_gender,artist_nationality
150,169635,2005,그룹,남성,대한민국
151,683631,2016.02.16,솔로,남성,대한민국
152,9842,2007,솔로,남성,대한민국
153,715176,2010,솔로,남성,대한민국
154,623851,2013,솔로,남성,대한민국
155,36142,2003,솔로,여성,대한민국
156,2136895,2018.04.17,그룹,남성,대한민국
157,8046,1999.01.01,솔로,여성,미국
158,230519,2013,솔로,여성,대한민국
159,554180,2011,그룹,여성,대한민국
160,170042,2005,그룹,남성,대한민국
161,516080,2011,솔로,여성,대한민국
162,181727,2006,솔로,남성,대한민국
163,45162,2008,솔로,남성,대한민국
164,2899290,2020,그룹,여성,대한민국
165,749640,2017.09.29,솔로,여성,대한민국
166,552082,2011.07.11,그룹,여성,대한민국
167,889,1992,솔로,남성,대한민국
168,242868,2008,솔로,여성,대한민국
169,646172,2013,솔로,여성,대한민국
170,100742,2001,그룹,남성,대한민국
171,880630,2015,솔로,남성,대한민국
172,475721,2010.06.03,그룹,남성,대한민국
173,1956543,2010,솔로,남성,미국
174,168015,2005.04.30,그룹,여성,대한민국
175,786499,2015.06.12,솔로,남성,대한민국
176,585492,2011,솔로,남성,대한민국
177,2895619,2020,그룹,여성,대한민국
178,221726,2007,그룹,남성,대한민국
179,100260,2000,그룹,남성,영국
180,792091,2010,솔로,남성,대한민국
181,484881,2010.07.15,솔로,여성,대한민국
182,45036,2003,솔로,남성,대한민국
183,236970,2008,솔로,남성,대한민국
184,28772,2010,솔로,남성,미국
185,1177,1997.04.08,솔로,여성,대한민국
186,567391,2011,솔로,여성,대한민국
187,458181,2009,솔로,남성,대한민국
188,205878,2000,그룹,혼성,대한민국
189,3897,1996,솔로,여성,대한민국
190,510565,2000,솔로,남성,대한민국
191,45077,1990,솔로,남성,영국
192,161092,2004,솔로,여성,대한민국
193,672859,2010,솔로,남성,대한민국
194,908,1997,솔로,여성,대한민국
195,231826,2007.12.12,솔로,남성,대한민국
196,48312,2003,솔로,여성,대한민국
197,2746396,2010,솔로,여성,대한민국
198,2737791,2010,그룹,남성,대한민국
199,6272,2012,솔로,여성,대한민국
200,1636,2006,솔로,여성,대한민국
201,1790,1999,솔로,여성,대한민국
202,100060,1998,솔로,여성,일본
203,261662,2008.05.10,그룹,남성,대한민국
204,429480,2009,솔로,남성,대한민국
205,192775,2006.07.13,솔로,여성,일본
206,182206,2006,솔로,남성,대한민국
207,3959,2005,솔로,남성,대한민국
208,776533,2013,솔로,남성,캐나다
209,314066,2000,솔로,남성,대한민국
210,428821,2010,솔로,여성,대한민국
211,1024489,2016.08.18,솔로,남성,대한민국
212,2740042,2010,솔로,여성,대한민국
213,181785,2004,솔로,남성,대한민국
214,2239,2003,솔로,남성,대한민국
215,46744,2007,솔로,여성,대한민국
216,100737,2000,그룹,남성,대한민국
217,226039,2000,그룹,여성,대한민국
218,465680,2010.08.12,그룹,여성,대한민국
219,312266,2009,솔로,여성,대한민국
220,437,1990,솔로,남성,대한민국
221,101886,2005.02.18,그룹,남성,대한민국
222,532201,2011,그룹,남성,대한민국
223,41499,2015.11.12,솔로,남성,대한민국
224,2738493,2010,솔로,남성,대한민국
225,612072,2000,솔로,남성,대한민국
226,713297,2012,그룹,남성,미국
227,2917776,,솔로,여성,대한민국
228,58979,2004,솔로,남성,대한민국
229,428829,2010,솔로,여성,미국
230,165535,2005,솔로,남성,대한민국
231,420621,2009,솔로,남성,캐나다
232,4838,1991,솔로,남성,대한민국
233,2398189,2010,솔로,남성,미국
234,687001,2012,솔로,여성,대한민국
235,43806,2006,솔로,남성,대한민국
236,172890,2005.09.01,솔로,남성,대한민국
237,756533,2010,솔로,여성,대한민국
238,554181,2011,그룹,여성,대한민국
239,2893700,2010,솔로,남성,
240,968260,2010,솔로,여성,대한민국
241,100177,1996.03.10,솔로,남성,대한민국
242,243278,2008,솔로,남성,대한민국
243,436700,2009.10.27,솔로,남성,대한민국
244,108613,2003,솔로,여성,대한민국
245,926037,2015.12.17,그룹,남성,대한민국
246,623451,2012,그룹,남성,대한민국
247,537569,2011,그룹,여성,대한민국
248,540921,2011,솔로,여성,대한민국
249,440320,2009.11.14,그룹,여성,대한민국
250,315175,2009.01.07,그룹,여성,대한민국
251,718042,2010,솔로,남성,영국
252,2754623,2010,그룹,남성,대한민국
253,428847,2000,솔로,남성,대한민국
254,2745413,2010,솔로,남성,대한민국
255,230587,2007.11.01,솔로,여성,대한민국
256,614911,2012,그룹,여성,대한민국
257,1585,2005.09.12,솔로,남성,대한민국
