,artist_id,debut_date,artist_type,artist_gender,artist_nationality
151,100183,1990,그룹,남성,대한민국
152,3033,1998,솔로,여성,대한민국
153,108951,2004,솔로,여성,대한민국
154,482762,2010,그룹,여성,대한민국
155,994944,2010,솔로,남성,대한민국
156,923,1995,솔로,남성,대한민국
157,100093,1999,그룹,여성,대한민국
158,550440,2011,그룹,남성,대한민국
159,1221596,2016.11.10,그룹,여성,대한민국
160,983,1995,솔로,여성,대한민국
161,105623,2002,그룹,남성,대한민국
162,227316,2000,그룹,남성,대한민국
163,100144,1999,그룹,남성,대한민국
164,3092950,2020,그룹,여성,
165,229494,2007,그룹,여성,대한민국
166,100078,1998.03.24,그룹,남성,대한민국
167,724619,2013.06.03,그룹,남성,대한민국
168,253866,2008.07.11,그룹,남성,대한민국
169,175155,2005.11.03,솔로,남성,대한민국
170,3854,1990,솔로,여성,대한민국
171,436980,2009,그룹,남성,대한민국
172,566431,2010,솔로,남성,대한민국
173,2868396,2020,솔로,남성,뉴질랜드
174,182430,1990,솔로,남성,
175,2113204,2010,솔로,남성,대한민국
176,443420,2000,솔로,남성,미국
177,101463,2001,그룹,혼성,대한민국
178,771375,2014.11.10,솔로,남성,대한민국
179,236815,2008,그룹,여성,대한민국
180,435121,2009,그룹,여성,대한민국
181,646173,2012.09.10,솔로,여성,대한민국
182,101094,2001,그룹,남성,대한민국
183,829211,,,,
184,57315,,,,
185,534360,,,,
186,227655,,,,
187,2742009,,,,
188,1239008,,,,
189,27033,,,,
190,483581,,,,
191,629831,,,,
192,51893,,,,
193,1099,,,,
194,107728,,,,
195,550446,,,,
196,925515,,,,
197,100005,,,,
198,2863470,,,,
199,107721,,,,
200,891,,,,
201,2111771,,,,
202,982316,,,,
203,30358,,,,
204,58793,,,,
205,25353,,,,
206,646171,,,,
207,450801,,,,
208,2402561,,,,
209,1713,,,,
210,239366,,,,
211,537920,,,,
212,100059,,,,
213,711476,,,,
214,54103,,,,
215,695994,,,,
216,105789,,,,
217,172281,,,,
218,786648,,,,
219,26,,,,
220,52974,,,,
221,100176,,,,
222,699632,,,,
223,712452,,,,
224,229115,,,,
225,106718,,,,
226,792022,,,,
227,750471,,,,
228,2939212,,,,
229,778464,,,,
230,7664,,,,
231,1743,,,,
232,647971,,,,
233,190493,,,,
234,8048,,,,
235,630454,,,,
236,1605,,,,
237,550444,,,,
238,1740,,,,
239,108988,,,,
240,160987,,,,
241,861436,,,,
242,102409,,,,
243,774900,,,,
244,194009,,,,
245,672853,,,,
246,20908,,,,
247,2398653,,,,
