,song_name,song_id,artist_name,artist_id,alb_name,alb_id,song_likes,debut_date,artist_type,artist_gender,artist_nationality
1007,%% (응응),31542508.0,Apink (에이핑크),534360.0,PERCENT,10239951.0,49140,2011,그룹,여성,대한민국
1008,결국…너잖아,1739510.0,블랙펄,227655.0,결국... 너잖아,358639.0,4286,2007,그룹,여성,대한민국
1009,좋은걸 어떡해,1668465.0,블랙펄,227655.0,Black Pearl (블랙펄),353914.0,2156,2007,그룹,여성,대한민국
1010,Dance Monkey,31979846.0,Tones And I,2742009.0,The Kids Are Coming,10316394.0,172950,2010,솔로,여성,오스트레일리아
1011,bad guy,31701428.0,Billie Eilish,1239008.0,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",10267565.0,256212,2010,솔로,여성,미국
1012,come out and play,31436696.0,Billie Eilish,1239008.0,come out and play,10224354.0,95073,2010,솔로,여성,미국
1013,물풍선 (12월 32일 그 이후),1498079.0,별,27033.0,물풍선 (12월 32일 그 이후) (Single),332473.0,354,2002,솔로,여성,대한민국
1014,미워도 좋아,1625777.0,별,27033.0,Her Story,350228.0,5369,2002,솔로,여성,대한민국
1015,가슴은 아니까,1759994.0,별,27033.0,별 special single album,360377.0,470,2002,솔로,여성,대한민국
1016,내 남자의 여자친구,742312.0,별,27033.0,별 2집,301021.0,494,2002,솔로,여성,대한민국
1017,Fly Again,1671174.0,별,27033.0,9회말 2아웃 OST,354132.0,4869,2002,솔로,여성,대한민국
1018,그래도 그대니까,3685828.0,별,27033.0,난폭한 로맨스 OST Part.3,2069747.0,778,2002,솔로,여성,대한민국
1019,미치겠어,3666277.0,틴탑,483581.0,It's,2059007.0,29443,2010.07.10,그룹,남성,대한민국
1020,아침부터 아침까지 (ah-ah),5748401.0,틴탑,483581.0,NATURAL BORN TEEN TOP,2325320.0,19044,2010.07.10,그룹,남성,대한민국
1021,첫눈처럼 너에게 가겠다,30190630.0,에일리(Ailee),629831.0,도깨비 OST Part.9,10029181.0,345789,2012,솔로,여성,대한민국
1022,Heaven,3701333.0,에일리(Ailee),629831.0,Heaven,2077426.0,87746,2012,솔로,여성,대한민국
1023,Johnny (쟈니),5758243.0,에일리(Ailee),629831.0,Johnny,2326669.0,6410,2012,솔로,여성,대한민국
1024,같은 베개...,1568562.0,테이,51893.0,애인,344501.0,60212,2004,솔로,남성,대한민국
1025,기적 같은 이야기,1959553.0,테이,51893.0,The Note,410352.0,2250,2004,솔로,남성,대한민국
